Business_Name,Category,City,Locality,Address,Latitude,Longitude,Website,Phone,Rating,Opening_Hours,Parking,Delivery,Status,Has_Website,Opportunity_Flag,Rating_Band
Ranchi Furniture 63,Furniture,Ranchi,Kokar,"Kokar, Ranchi, Jharkhand",23.552405,84.297245,https://www.ranchifurniture63.com,+91-9158546865,4.3,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Latehar Furniture 64,Furniture,Latehar,Sakchi,"Sakchi, Latehar, Jharkhand",23.271406,83.937455,https://www.lateharfurniture64.com,+91-9155165334,3.9,7AM-9PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Koderma Hospital 65,Hospital,Koderma,Kanke,"Kanke, Koderma, Jharkhand",22.110827,83.79679,https://www.kodermahospital65.com,+91-9704344408,4.9,7AM-9PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Chatra School 66,School,Chatra,Market Area,"Market Area, Chatra, Jharkhand",24.277081,84.721512,https://www.chatraschool66.com,+91-9575368059,3.9,24 Hours,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Ramgarh Grocery Store 67,Grocery Store,Ramgarh,Kanke,"Kanke, Ramgarh, Jharkhand",22.583076,85.841713,https://www.ramgarhgrocerystore67.com,+91-9268638768,3.9,8AM-10PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Latehar School 68,School,Latehar,Bus Stand,"Bus Stand, Latehar, Jharkhand",22.04792,84.35242,https://www.lateharschool68.com,+91-9403566540,4.6,8AM-10PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Gumla Grocery Store 69,Grocery Store,Gumla,Market Area,"Market Area, Gumla, Jharkhand",23.892904,86.833646,https://www.gumlagrocerystore69.com,+91-9987588450,3.7,24 Hours,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Sahibganj Grocery Store 70,Grocery Store,Sahibganj,Kokar,"Kokar, Sahibganj, Jharkhand",22.862274,84.810034,https://www.sahibganjgrocerystore70.com,+91-9392322121,4.3,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chatra Hardware 71,Hardware,Chatra,Bus Stand,"Bus Stand, Chatra, Jharkhand",22.027595,84.115698,https://www.chatrahardware71.com,+91-9824022357,4.8,7AM-9PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Hazaribagh Cafe 72,Cafe,Hazaribagh,Sakchi,"Sakchi, Hazaribagh, Jharkhand",23.506892,84.968918,https://www.hazaribaghcafe72.com,+91-9398668350,3.8,9AM-8PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Medininagar ATM 73,ATM,Medininagar,MG Road,"MG Road, Medininagar, Jharkhand",23.960401,86.630932,https://www.medininagaratm73.com,+91-9454123990,4.1,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Medininagar Hotel 74,Hotel,Medininagar,Bus Stand,"Bus Stand, Medininagar, Jharkhand",22.919821,87.080739,https://www.medininagarhotel74.com,+91-9533979662,4.8,9AM-8PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Gym 75,Gym,Khunti,Harmu,"Harmu, Khunti, Jharkhand",24.219329,85.701635,https://www.khuntigym75.com,+91-9916033628,3.6,8AM-10PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Bokaro Salon 76,Salon,Bokaro,Main Road,"Main Road, Bokaro, Jharkhand",24.86944,85.635487,https://www.bokarosalon76.com,+91-9356943695,4.6,7AM-9PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Bokaro Clothing 77,Clothing,Bokaro,Sakchi,"Sakchi, Bokaro, Jharkhand",24.791182,85.790839,https://www.bokaroclothing77.com,+91-9265325235,4.2,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Sahibganj Clothing 78,Clothing,Sahibganj,Adityapur,"Adityapur, Sahibganj, Jharkhand",22.383926,83.962441,https://www.sahibganjclothing78.com,+91-9743576792,4.3,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Ranchi Jewelry 79,Jewelry,Ranchi,Bus Stand,"Bus Stand, Ranchi, Jharkhand",24.128153,86.549904,https://www.ranchijewelry79.com,+91-9722687986,5.0,9AM-8PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Gumla Hardware 80,Hardware,Gumla,Upper Bazar,"Upper Bazar, Gumla, Jharkhand",23.58029,85.021378,https://www.gumlahardware80.com,+91-9445505799,4.8,9AM-8PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Latehar Hardware 81,Hardware,Latehar,Kokar,"Kokar, Latehar, Jharkhand",24.690291,84.724925,https://www.lateharhardware81.com,+91-9812630453,4.7,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Medininagar Hospital 82,Hospital,Medininagar,Lower Bazar,"Lower Bazar, Medininagar, Jharkhand",22.251094,86.580158,https://www.medininagarhospital82.com,+91-9207064620,4.3,8AM-10PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Salon 83,Salon,Chaibasa,MG Road,"MG Road, Chaibasa, Jharkhand",23.819778,84.789933,https://www.chaibasasalon83.com,+91-9186237917,4.8,9AM-8PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Chatra Cafe 84,Cafe,Chatra,Station Road,"Station Road, Chatra, Jharkhand",22.654311,85.937598,https://www.chatracafe84.com,+91-9408570854,5.0,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Dumka Bakery 85,Bakery,Dumka,Main Road,"Main Road, Dumka, Jharkhand",22.087973,86.384574,https://www.dumkabakery85.com,+91-9415001254,4.0,8AM-10PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh Office 86,Office,Hazaribagh,Civil Lines,"Civil Lines, Hazaribagh, Jharkhand",22.475208,85.637967,https://www.hazaribaghoffice86.com,+91-9510753814,4.4,8AM-10PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Sahibganj Jewelry 87,Jewelry,Sahibganj,Bus Stand,"Bus Stand, Sahibganj, Jharkhand",23.950522,86.795634,https://www.sahibganjjewelry87.com,+91-9599561877,4.9,8AM-10PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Dumka Hospital 88,Hospital,Dumka,Kanke,"Kanke, Dumka, Jharkhand",24.836087,85.961254,https://www.dumkahospital88.com,+91-9590523712,4.8,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Hospital 89,Hospital,Khunti,Harmu,"Harmu, Khunti, Jharkhand",22.837617,85.997116,https://www.khuntihospital89.com,+91-9123557463,5.0,24 Hours,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Dumka Salon 90,Salon,Dumka,Upper Bazar,"Upper Bazar, Dumka, Jharkhand",24.34658,85.62826,https://www.dumkasalon90.com,+91-9478301747,3.8,24 Hours,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Koderma Grocery Store 91,Grocery Store,Koderma,Kanke,"Kanke, Koderma, Jharkhand",22.068268,86.354442,https://www.kodermagrocerystore91.com,+91-9135824891,4.4,7AM-9PM,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh ATM 92,ATM,Hazaribagh,Market Area,"Market Area, Hazaribagh, Jharkhand",22.346479,85.357631,https://www.hazaribaghatm92.com,+91-9492836532,4.3,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Bokaro Hardware 93,Hardware,Bokaro,Sakchi,"Sakchi, Bokaro, Jharkhand",24.83868,83.763028,https://www.bokarohardware93.com,+91-9342251928,4.8,9AM-8PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Ranchi Bank 94,Bank,Ranchi,Bus Stand,"Bus Stand, Ranchi, Jharkhand",23.559717,85.019144,https://www.ranchibank94.com,+91-9822443971,4.6,9AM-8PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Giridih Office 95,Office,Giridih,Sakchi,"Sakchi, Giridih, Jharkhand",22.025074,86.736939,https://www.giridihoffice95.com,+91-9702806585,4.0,7AM-9PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma Furniture 96,Furniture,Koderma,Bistupur,"Bistupur, Koderma, Jharkhand",22.300028,83.381387,https://www.kodermafurniture96.com,+91-9139956218,4.0,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Khunti Fuel Station 97,Fuel Station,Khunti,Kanke,"Kanke, Khunti, Jharkhand",24.798142,85.985936,https://www.khuntifuelstation97.com,+91-9680027275,4.1,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Pakur School 98,School,Pakur,Bus Stand,"Bus Stand, Pakur, Jharkhand",22.048149,84.68212,https://www.pakurschool98.com,+91-9576078963,4.2,7AM-9PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Khunti College 99,College,Khunti,Main Road,"Main Road, Khunti, Jharkhand",23.144419,83.959234,https://www.khunticollege99.com,+91-9231167999,4.9,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Chatra College 100,College,Chatra,Main Road,"Main Road, Chatra, Jharkhand",22.101736,84.534037,https://www.chatracollege100.com,+91-9235209737,4.7,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Deoghar Hardware 101,Hardware,Deoghar,Upper Bazar,"Upper Bazar, Deoghar, Jharkhand",24.651593,83.211342,https://www.deogharhardware101.com,+91-9255357534,5.0,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Restaurant 102,Restaurant,Khunti,Upper Bazar,"Upper Bazar, Khunti, Jharkhand",24.315295,85.555412,https://www.khuntirestaurant102.com,+91-9116944811,3.8,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Latehar Hotel 103,Hotel,Latehar,Sakchi,"Sakchi, Latehar, Jharkhand",24.284051,85.252952,https://www.lateharhotel103.com,+91-9217095851,4.2,7AM-9PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Ranchi College 104,College,Ranchi,Main Road,"Main Road, Ranchi, Jharkhand",24.94576,86.589194,https://www.ranchicollege104.com,+91-9557707813,4.5,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Deoghar School 105,School,Deoghar,Station Road,"Station Road, Deoghar, Jharkhand",22.328575,85.69727,https://www.deogharschool105.com,+91-9728530544,4.3,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma Grocery Store 106,Grocery Store,Koderma,Kanke,"Kanke, Koderma, Jharkhand",24.583119,85.405341,https://www.kodermagrocerystore106.com,+91-9330879256,4.1,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Medininagar Grocery Store 107,Grocery Store,Medininagar,Bistupur,"Bistupur, Medininagar, Jharkhand",22.887571,84.219559,https://www.medininagargrocerystore107.com,+91-9263894795,4.5,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Grocery Store 108,Grocery Store,Khunti,Upper Bazar,"Upper Bazar, Khunti, Jharkhand",22.340346,83.439924,https://www.khuntigrocerystore108.com,+91-9702998820,4.3,9AM-8PM,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Dumka Cafe 109,Cafe,Dumka,Harmu,"Harmu, Dumka, Jharkhand",22.887347,83.614402,https://www.dumkacafe109.com,+91-9644830077,3.8,8AM-10PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Bokaro Mobile Store 110,Mobile Store,Bokaro,Upper Bazar,"Upper Bazar, Bokaro, Jharkhand",22.785705,84.104636,https://www.bokaromobilestore110.com,+91-9560755939,4.8,7AM-9PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Chaibasa Bakery 111,Bakery,Chaibasa,Kokar,"Kokar, Chaibasa, Jharkhand",24.237229,86.88615,https://www.chaibasabakery111.com,+91-9476908532,3.5,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
